T, K	k(2p9->2p10), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s
300	1.025302E-13	6.272648E-13	2.618138E-11	4.705933E-14	9.474033E-12	1.860791E-15	4.941052E-16	1.366235E-15	1.070282E-14	1.762454E-10
350	1.340079E-13	8.2711E-13	3.217815E-11	6.029077E-14	1.149235E-11	2.382045E-15	9.0218E-16	2.480443E-15	1.939558E-14	1.926456E-10
400	1.680727E-13	1.033495E-12	3.815488E-11	7.411754E-14	1.352538E-11	3.152901E-15	1.480751E-15	4.403743E-15	3.246165E-14	2.07878E-10
450	2.042255E-13	1.241829E-12	4.412506E-11	8.838793E-14	1.556992E-11	4.2481E-15	2.276575E-15	7.617506E-15	5.056117E-14	2.22001E-10
500	2.41983E-13	1.448762E-12	5.00866E-11	1.029894E-13	1.762573E-11	5.749289E-15	3.352238E-15	1.272732E-14	7.407357E-14	2.350891E-10
550	2.809215E-13	1.651924E-12	5.602892E-11	1.178353E-13	1.969368E-11	7.749913E-15	4.780816E-15	2.041106E-14	1.031482E-13	2.472265E-10
600	3.206898E-13	1.849701E-12	6.193912E-11	1.32859E-13	2.177454E-11	1.035777E-14	6.638548E-15	3.1361E-14	1.377701E-13	2.585002E-10
650	3.610074E-13	2.041032E-12	6.780503E-11	1.480096E-13	2.386839E-11	1.369315E-14	8.99762E-15	4.622967E-14	1.778156E-13	2.689947E-10
700	4.016555E-13	2.225262E-12	7.36165E-11	1.632492E-13	2.597427E-11	1.788269E-14	1.192011E-14	6.558509E-14	2.230916E-13	2.787883E-10
750	4.424654E-13	2.402024E-12	7.936511E-11	1.785495E-13	2.809015E-11	2.305057E-14	1.545369E-14	8.987775E-14	2.733579E-13	2.87952E-10
800	4.833064E-13	2.571152E-12	8.504367E-11	1.93889E-13	3.021297E-11	2.930917E-14	1.962917E-14	1.194209E-13	3.283394E-13	2.965479E-10
850	5.240763E-13	2.732621E-12	9.064565E-11	2.092502E-13	3.233872E-11	3.675099E-14	2.445969E-14	1.543829E-13	3.877303E-13	3.046299E-10
900	5.646914E-13	2.886494E-12	9.616453E-11	2.246168E-13	3.44627E-11	4.544293E-14	2.994135E-14	1.947908E-13	4.51198E-13	3.122435E-10
950	6.0508E-13	3.032901E-12	1.015938E-10	2.39972E-13	3.657962E-11	5.542312E-14	3.60548E-14	2.405412E-13	5.183846E-13	3.194268E-10
1000	6.451773E-13	3.172008E-12	1.069265E-10	2.552976E-13	3.868392E-11	6.670033E-14	4.276752E-14	2.914172E-13	5.889114E-13	3.262112E-10
1050	6.849226E-13	3.304006E-12	1.121557E-10	2.705731E-13	4.076988E-11	7.925527E-14	5.003636E-14	3.471085E-13	6.62383E-13	3.326228E-10
