T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s
300	3.414051E-15	1.690774E-16	1.25049E-18	1.023639E-19	5.066605E-13	5.63434E-11	2.933312E-13	2.562722E-16	7.449096E-14	1.675779E-10	1.920546E-16	5.164622E-15	7.123684E-15	1.088188E-11	2.383941E-15	4.398228E-09	6.388688E-16	1.078549E-14	7.474716E-14	5.013596E-09
350	1.148144E-14	6.024198E-16	6.439765E-18	7.011627E-19	7.390588E-13	7.565924E-11	5.377473E-13	5.920843E-16	1.033969E-13	2.020597E-10	2.756309E-16	8.182239E-15	1.066838E-14	1.343707E-11	2.56855E-15	5.023835E-09	1.167397E-15	1.532833E-14	8.150613E-14	5.225036E-09
400	2.909068E-14	1.586089E-15	2.273243E-17	3.079917E-18	1.000831E-12	9.54245E-11	8.658597E-13	1.208944E-15	1.34239E-13	2.350771E-10	3.839912E-16	1.313385E-14	1.491174E-14	1.608637E-11	2.886023E-15	5.545534E-09	1.903426E-15	2.173846E-14	9.852459E-14	5.384364E-09
450	6.072462E-14	3.39916E-15	6.203755E-17	1.003627E-17	1.283382E-12	1.152989E-10	1.276338E-12	2.237512E-15	1.659972E-13	2.66748E-10	5.395828E-16	2.126184E-14	1.97961E-14	1.883055E-11	3.430897E-15	5.984103E-09	2.869523E-15	3.030081E-14	1.273099E-13	5.507612E-09
500	1.103372E-13	6.291668E-15	1.409749E-16	2.650264E-17	1.579138E-12	1.350575E-10	1.766818E-12	3.806038E-15	1.97896E-13	2.971498E-10	7.742824E-16	3.41224E-14	2.527493E-14	2.167695E-11	4.306685E-15	6.356105E-09	4.089956E-15	4.108086E-14	1.699355E-13	5.604976E-09
550	1.808815E-13	1.045179E-14	2.799516E-16	6.001222E-17	1.881826E-12	1.545428E-10	2.335122E-12	6.025417E-15	2.293728E-13	3.263274E-10	1.128957E-15	5.354809E-14	3.131639E-14	2.463693E-11	5.628245E-15	6.674453E-09	5.59182E-15	5.401752E-14	2.288387E-13	5.683232E-09
600	2.741485E-13	1.599361E-14	5.019814E-16	1.209957E-16	2.186471E-12	1.736407E-10	2.979761E-12	8.985753E-15	2.600346E-13	3.543072E-10	1.653744E-15	8.15728E-14	3.790155E-14	2.772366E-11	7.525467E-15	6.94918E-09	7.404352E-15	6.901022E-14	3.065786E-13	5.74704E-09
650	3.908238E-13	2.29598E-14	8.315597E-16	2.228987E-16	2.489254E-12	1.922682E-10	3.700005E-12	1.276055E-14	2.89619E-13	3.811084E-10	2.408046E-15	1.203225E-13	4.502004E-14	3.095028E-11	1.014356E-14	7.18814E-09	9.556948E-15	8.597517E-14	4.055872E-13	5.79972E-09
700	5.306599E-13	3.133241E-14	1.293695E-15	3.820926E-16	2.787326E-12	2.103654E-10	4.495671E-12	1.741319E-14	3.179608E-13	4.067488E-10	3.459264E-15	1.718885E-13	5.26651E-14	3.432819E-11	1.36382E-14	7.397513E-09	1.207668E-14	1.048689E-13	5.279533E-13	5.8437E-09
750	6.926899E-13	4.104669E-14	1.913081E-15	6.175553E-16	3.078618E-12	2.2789E-10	5.366808E-12	2.300185E-14	3.449658E-13	4.31248E-10	4.880012E-15	2.382027E-13	6.082918E-14	3.786582E-11	1.816655E-14	7.582227E-09	1.498579E-14	1.256875E-13	6.752632E-13	5.880788E-09
800	8.754347E-13	5.200478E-14	2.713364E-15	9.50318E-16	3.361671E-12	2.448136E-10	6.313341E-12	2.958152E-14	3.705906E-13	4.546279E-10	6.744184E-15	3.209313E-13	6.950047E-14	4.156774E-11	2.387661E-14	7.746193E-09	1.829972E-14	1.484533E-13	8.485039E-13	5.912336E-09
850	1.077082E-12	6.408767E-14	3.716477E-15	1.402719E-15	3.635498E-12	2.611179E-10	7.334765E-12	3.720326E-14	3.948281E-13	4.769122E-10	9.12258E-15	4.213953E-13	7.866082E-14	4.543411E-11	3.089706E-14	7.89256E-09	2.202586E-14	1.731962E-13	1.048031E-12	5.939368E-09
900	1.295634E-12	7.716487E-14	4.942032E-15	1.997527E-15	3.899461E-12	2.767929E-10	8.4299E-12	4.591184E-14	4.176956E-13	4.981274E-10	1.207881E-14	5.405226E-13	8.828478E-14	4.946087E-11	3.932939E-14	8.02386E-09	2.616302E-14	1.999368E-13	1.273584E-12	5.962668E-09
950	1.529013E-12	9.11018E-14	6.406813E-15	2.757035E-15	4.153192E-12	2.918345E-10	9.596757E-12	5.574249E-14	4.392268E-13	5.182997E-10	1.566595E-14	6.788299E-13	9.833949E-14	5.363976E-11	4.924287E-14	8.142127E-09	3.070163E-14	2.286739E-13	1.52434E-12	5.982816E-09
1000	1.775144E-12	1.057651E-13	8.124374E-15	3.702179E-15	4.396512E-12	3.062429E-10	1.083247E-11	6.671814E-14	4.59466E-13	5.374566E-10	1.992422E-14	8.364304E-13	1.087854E-13	5.795895E-11	6.067252E-14	8.249013E-09	3.562444E-14	2.59376E-13	1.798995E-12	6.000244E-09
1050	2.03201E-12	1.21026E-13	1.010476E-14	4.851777E-15	4.62938E-12	3.200221E-10	1.21333E-11	7.88473E-14	4.784636E-13	5.556264E-10	2.487982E-14	1.013061E-12	1.195774E-13	6.240355E-11	7.36196E-14	8.345847E-09	4.09076E-14	2.919789E-13	2.095851E-12	6.015276E-09
